"","fire_year","fire_size","latitude","longitude"
"610",2008,0.1,35.33666667,-111.52555556
"611",2008,0.1,35.23805556,-111.61444444
"612",2008,0.1,35.33888889,-111.49972222
"613",2008,0.1,35.37888889,-111.5875
"614",2008,0.1,39.905,-120.90527778
"615",2008,0.1,34.47027778,-117.89305556
"616",2008,12,35.15888889,-111.61166667
"617",2008,0.1,35.29555556,-111.55055556
"618",2008,0.1,39.91472222,-120.91611111
"619",2008,0.75,40.03555556,-120.83444444
"620",2008,1,35.29583333,-111.53277778
"621",2008,0.1,34.405,-118.42222222
"622",2008,0.25,35.24888889,-111.84222222
"623",2008,0.1,35.26861111,-111.75777778
"624",2008,0.3,40.77833333,-121.26638889
"625",2008,0.1,39.99972222,-120.86777778
"626",2008,2,37.02555556,-80.82361111
"627",2008,0.25,35.31305556,-111.77194444
"628",2008,0.1,39.98444444,-120.90833333
"629",2008,1,45.66055556,-120.92666667
"630",2008,0.25,32.90861111,-105.52388889
"631",2008,4.7,45.66055556,-120.92666667
"632",2008,0.1,40.42861111,-123.20083333
"633",2008,0.1,36.345,-115.64083333
"634",2008,0.1,47.57861111,-93.98472222
"635",2008,0.25,47.3225,-93.93833333
"636",2008,1,47.31777778,-93.93305556
"637",2008,0.5,47.31861111,-93.93638889
